,A,B,gates,depth,2-gates,Gates
138,32,406,369,275,68,"Counter({'sx': 160, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
139,32,411,374,277,68,"Counter({'sx': 163, 'rz': 133, 'cz': 68, 'x': 6, 'measure': 4})"
140,32,416,372,278,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 6, 'measure': 4})"
141,32,419,369,279,70,"Counter({'sx': 161, 'rz': 128, 'cz': 70, 'x': 6, 'measure': 4})"
142,32,420,377,286,70,"Counter({'sx': 161, 'rz': 134, 'cz': 70, 'x': 8, 'measure': 4})"
143,32,421,372,277,68,"Counter({'sx': 160, 'rz': 134, 'cz': 68, 'x': 6, 'measure': 4})"
144,32,424,371,276,68,"Counter({'sx': 160, 'rz': 133, 'cz': 68, 'x': 6, 'measure': 4})"
145,32,425,370,277,68,"Counter({'sx': 160, 'rz': 131, 'cz': 68, 'x': 7, 'measure': 4})"
146,32,426,369,273,68,"Counter({'sx': 160, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
147,32,428,367,273,68,"Counter({'sx': 160, 'rz': 129, 'cz': 68, 'x': 6, 'measure': 4})"
148,32,435,373,278,68,"Counter({'sx': 160, 'rz': 135, 'cz': 68, 'x': 6, 'measure': 4})"
149,35,36,369,276,68,"Counter({'sx': 162, 'rz': 128, 'cz': 68, 'x': 7, 'measure': 4})"
150,35,37,379,288,72,"Counter({'sx': 165, 'rz': 130, 'cz': 72, 'x': 8, 'measure': 4})"
151,35,50,371,276,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
152,35,53,387,294,72,"Counter({'sx': 165, 'rz': 136, 'cz': 72, 'x': 10, 'measure': 4})"
153,35,55,384,292,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 10, 'measure': 4})"
154,35,57,370,276,68,"Counter({'sx': 162, 'rz': 130, 'cz': 68, 'x': 6, 'measure': 4})"
155,35,59,380,291,72,"Counter({'sx': 165, 'rz': 130, 'cz': 72, 'x': 9, 'measure': 4})"
156,35,63,371,280,70,"Counter({'sx': 163, 'rz': 126, 'cz': 70, 'x': 8, 'measure': 4})"
157,35,67,380,288,72,"Counter({'sx': 165, 'rz': 130, 'cz': 72, 'x': 9, 'measure': 4})"
158,35,69,374,282,70,"Counter({'sx': 163, 'rz': 131, 'cz': 70, 'x': 6, 'measure': 4})"
159,35,74,375,282,70,"Counter({'sx': 163, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
160,35,77,374,277,68,"Counter({'sx': 162, 'rz': 133, 'cz': 68, 'x': 7, 'measure': 4})"
161,35,81,371,275,68,"Counter({'sx': 162, 'rz': 130, 'cz': 68, 'x': 7, 'measure': 4})"
162,35,82,374,283,70,"Counter({'sx': 163, 'rz': 130, 'cz': 70, 'x': 7, 'measure': 4})"
163,35,83,386,295,72,"Counter({'sx': 165, 'rz': 136, 'cz': 72, 'x': 9, 'measure': 4})"
164,35,84,371,277,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
165,35,85,371,279,70,"Counter({'sx': 163, 'rz': 128, 'cz': 70, 'x': 6, 'measure': 4})"
166,35,93,371,278,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
167,35,98,375,279,68,"Counter({'sx': 162, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
168,35,99,373,280,68,"Counter({'sx': 162, 'rz': 132, 'cz': 68, 'x': 7, 'measure': 4})"
169,35,104,367,276,70,"Counter({'sx': 163, 'rz': 124, 'cz': 70, 'x': 6, 'measure': 4})"
170,35,106,378,282,70,"Counter({'sx': 165, 'rz': 132, 'cz': 70, 'x': 7, 'measure': 4})"
171,35,107,378,284,70,"Counter({'sx': 165, 'rz': 131, 'cz': 70, 'x': 8, 'measure': 4})"
172,35,109,383,290,72,"Counter({'sx': 165, 'rz': 134, 'cz': 72, 'x': 8, 'measure': 4})"
173,35,113,375,283,68,"Counter({'sx': 162, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
174,35,114,375,279,68,"Counter({'sx': 162, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
175,35,115,372,279,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 7, 'measure': 4})"
176,35,117,371,276,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
177,35,165,386,290,72,"Counter({'sx': 165, 'rz': 135, 'cz': 72, 'x': 10, 'measure': 4})"
178,35,166,374,283,70,"Counter({'sx': 163, 'rz': 129, 'cz': 70, 'x': 8, 'measure': 4})"
179,35,198,503,316,104,"Counter({'sx': 231, 'rz': 160, 'cz': 104, 'x': 4, 'measure': 4})"
180,35,199,378,288,72,"Counter({'sx': 165, 'rz': 128, 'cz': 72, 'x': 9, 'measure': 4})"
181,35,233,375,283,68,"Counter({'sx': 162, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
182,35,234,388,292,72,"Counter({'sx': 165, 'rz': 138, 'cz': 72, 'x': 9, 'measure': 4})"
183,35,240,376,279,68,"Counter({'sx': 162, 'rz': 135, 'cz': 68, 'x': 7, 'measure': 4})"
184,35,241,383,291,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 9, 'measure': 4})"
185,35,249,377,284,70,"Counter({'sx': 163, 'rz': 132, 'cz': 70, 'x': 8, 'measure': 4})"
186,35,251,377,285,70,"Counter({'sx': 163, 'rz': 132, 'cz': 70, 'x': 8, 'measure': 4})"
187,35,252,379,287,72,"Counter({'sx': 165, 'rz': 129, 'cz': 72, 'x': 9, 'measure': 4})"
188,35,254,370,277,68,"Counter({'sx': 162, 'rz': 130, 'cz': 68, 'x': 6, 'measure': 4})"
189,35,256,376,280,68,"Counter({'sx': 162, 'rz': 135, 'cz': 68, 'x': 7, 'measure': 4})"
190,35,261,373,278,68,"Counter({'sx': 162, 'rz': 133, 'cz': 68, 'x': 6, 'measure': 4})"
191,35,262,377,280,68,"Counter({'sx': 162, 'rz': 136, 'cz': 68, 'x': 7, 'measure': 4})"
192,35,263,382,289,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 8, 'measure': 4})"
193,35,302,376,281,70,"Counter({'sx': 165, 'rz': 129, 'cz': 70, 'x': 8, 'measure': 4})"
194,35,306,371,277,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
195,35,317,380,284,70,"Counter({'sx': 165, 'rz': 133, 'cz': 70, 'x': 8, 'measure': 4})"
196,35,325,366,272,68,"Counter({'sx': 162, 'rz': 126, 'cz': 68, 'x': 6, 'measure': 4})"
197,35,334,384,292,72,"Counter({'sx': 165, 'rz': 134, 'cz': 72, 'x': 9, 'measure': 4})"
198,35,335,377,284,70,"Counter({'sx': 165, 'rz': 130, 'cz': 70, 'x': 8, 'measure': 4})"
199,35,336,375,282,68,"Counter({'sx': 162, 'rz': 135, 'cz': 68, 'x': 6, 'measure': 4})"
200,35,337,372,277,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 7, 'measure': 4})"
201,35,342,375,284,70,"Counter({'sx': 163, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
202,35,345,375,283,70,"Counter({'sx': 163, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
203,35,346,379,285,70,"Counter({'sx': 163, 'rz': 134, 'cz': 70, 'x': 8, 'measure': 4})"
204,35,351,375,283,70,"Counter({'sx': 163, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
205,35,353,385,292,72,"Counter({'sx': 165, 'rz': 135, 'cz': 72, 'x': 9, 'measure': 4})"
206,35,354,377,281,68,"Counter({'sx': 162, 'rz': 136, 'cz': 68, 'x': 7, 'measure': 4})"
207,35,365,385,293,72,"Counter({'sx': 165, 'rz': 135, 'cz': 72, 'x': 9, 'measure': 4})"
208,35,380,371,275,68,"Counter({'sx': 162, 'rz': 131, 'cz': 68, 'x': 6, 'measure': 4})"
209,35,383,372,280,70,"Counter({'sx': 163, 'rz': 128, 'cz': 70, 'x': 7, 'measure': 4})"
210,35,404,373,280,70,"Counter({'sx': 163, 'rz': 129, 'cz': 70, 'x': 7, 'measure': 4})"
211,35,406,373,279,70,"Counter({'sx': 165, 'rz': 127, 'cz': 70, 'x': 7, 'measure': 4})"
212,35,411,371,278,70,"Counter({'sx': 165, 'rz': 125, 'cz': 70, 'x': 7, 'measure': 4})"
213,35,416,386,290,72,"Counter({'sx': 165, 'rz': 136, 'cz': 72, 'x': 9, 'measure': 4})"
214,35,419,376,283,70,"Counter({'sx': 165, 'rz': 130, 'cz': 70, 'x': 7, 'measure': 4})"
215,35,420,376,282,68,"Counter({'sx': 162, 'rz': 135, 'cz': 68, 'x': 7, 'measure': 4})"
216,35,421,373,278,68,"Counter({'sx': 162, 'rz': 133, 'cz': 68, 'x': 6, 'measure': 4})"
217,35,424,375,280,70,"Counter({'sx': 165, 'rz': 129, 'cz': 70, 'x': 7, 'measure': 4})"
218,35,425,372,280,70,"Counter({'sx': 163, 'rz': 128, 'cz': 70, 'x': 7, 'measure': 4})"
219,35,426,377,281,70,"Counter({'sx': 165, 'rz': 131, 'cz': 70, 'x': 7, 'measure': 4})"
220,35,428,376,285,72,"Counter({'sx': 165, 'rz': 126, 'cz': 72, 'x': 9, 'measure': 4})"
221,35,435,374,279,68,"Counter({'sx': 162, 'rz': 134, 'cz': 68, 'x': 6, 'measure': 4})"
222,36,37,374,277,68,"Counter({'sx': 162, 'rz': 132, 'cz': 68, 'x': 8, 'measure': 4})"
223,36,50,379,287,72,"Counter({'sx': 165, 'rz': 130, 'cz': 72, 'x': 8, 'measure': 4})"
224,36,53,385,291,72,"Counter({'sx': 165, 'rz': 134, 'cz': 72, 'x': 10, 'measure': 4})"
225,36,55,382,289,72,"Counter({'sx': 165, 'rz': 131, 'cz': 72, 'x': 10, 'measure': 4})"
226,36,57,374,275,68,"Counter({'sx': 162, 'rz': 133, 'cz': 68, 'x': 7, 'measure': 4})"
227,36,59,374,276,68,"Counter({'sx': 162, 'rz': 132, 'cz': 68, 'x': 8, 'measure': 4})"
228,36,63,375,279,70,"Counter({'sx': 163, 'rz': 129, 'cz': 70, 'x': 9, 'measure': 4})"
229,36,67,377,279,68,"Counter({'sx': 162, 'rz': 135, 'cz': 68, 'x': 8, 'measure': 4})"
230,36,69,378,281,70,"Counter({'sx': 163, 'rz': 134, 'cz': 70, 'x': 7, 'measure': 4})"
231,36,74,383,289,72,"Counter({'sx': 165, 'rz': 132, 'cz': 72, 'x': 10, 'measure': 4})"
232,36,77,381,280,70,"Counter({'sx': 165, 'rz': 133, 'cz': 70, 'x': 9, 'measure': 4})"
233,36,81,379,283,72,"Counter({'sx': 165, 'rz': 129, 'cz': 72, 'x': 9, 'measure': 4})"
234,36,82,377,286,72,"Counter({'sx': 165, 'rz': 127, 'cz': 72, 'x': 9, 'measure': 4})"
235,36,83,382,290,72,"Counter({'sx': 165, 'rz': 132, 'cz': 72, 'x': 9, 'measure': 4})"
236,36,84,375,276,68,"Counter({'sx': 162, 'rz': 134, 'cz': 68, 'x': 7, 'measure': 4})"
237,36,85,376,276,68,"Counter({'sx': 162, 'rz': 135, 'cz': 68, 'x': 7, 'measure': 4})"
238,36,93,374,279,70,"Counter({'sx': 163, 'rz': 130, 'cz': 70, 'x': 7, 'measure': 4})"
239,36,98,379,278,68,"Counter({'sx': 162, 'rz': 137, 'cz': 68, 'x': 8, 'measure': 4})"
240,36,99,382,287,72,"Counter({'sx': 165, 'rz': 132, 'cz': 72, 'x': 9, 'measure': 4})"
241,36,104,371,275,70,"Counter({'sx': 163, 'rz': 127, 'cz': 70, 'x': 7, 'measure': 4})"
242,36,106,382,288,72,"Counter({'sx': 165, 'rz': 133, 'cz': 72, 'x': 8, 'measure': 4})"
