,A,B,gates,depth,2-gates,Gates
169,35,104,578,395,106,"Counter({'sx': 247, 'rz': 200, 'cz': 106, 'x': 21, 'measure': 4})"
170,35,106,581,398,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 22, 'measure': 4})"
171,35,107,579,398,106,"Counter({'sx': 247, 'rz': 200, 'cz': 106, 'x': 22, 'measure': 4})"
172,35,109,581,400,106,"Counter({'sx': 247, 'rz': 203, 'cz': 106, 'x': 21, 'measure': 4})"
173,35,113,569,403,108,"Counter({'sx': 243, 'rz': 194, 'cz': 108, 'x': 20, 'measure': 4})"
174,35,114,580,399,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 21, 'measure': 4})"
175,35,115,583,397,106,"Counter({'sx': 247, 'rz': 203, 'cz': 106, 'x': 23, 'measure': 4})"
176,35,117,587,404,108,"Counter({'sx': 252, 'rz': 201, 'cz': 108, 'x': 22, 'measure': 4})"
177,35,165,580,399,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 21, 'measure': 4})"
178,35,166,573,404,108,"Counter({'sx': 243, 'rz': 196, 'cz': 108, 'x': 22, 'measure': 4})"
179,35,198,582,396,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 23, 'measure': 4})"
180,35,199,565,404,110,"Counter({'sx': 242, 'rz': 187, 'cz': 110, 'x': 22, 'measure': 4})"
181,35,233,588,402,108,"Counter({'sx': 252, 'rz': 202, 'cz': 108, 'x': 22, 'measure': 4})"
182,35,234,566,406,110,"Counter({'sx': 242, 'rz': 190, 'cz': 110, 'x': 20, 'measure': 4})"
183,35,240,580,396,106,"Counter({'sx': 247, 'rz': 200, 'cz': 106, 'x': 23, 'measure': 4})"
184,35,241,575,408,108,"Counter({'sx': 243, 'rz': 199, 'cz': 108, 'x': 21, 'measure': 4})"
185,35,249,567,407,110,"Counter({'sx': 242, 'rz': 191, 'cz': 110, 'x': 20, 'measure': 4})"
186,35,251,581,396,106,"Counter({'sx': 247, 'rz': 201, 'cz': 106, 'x': 23, 'measure': 4})"
187,35,252,564,400,108,"Counter({'sx': 243, 'rz': 190, 'cz': 108, 'x': 19, 'measure': 4})"
188,35,254,578,396,106,"Counter({'sx': 247, 'rz': 200, 'cz': 106, 'x': 21, 'measure': 4})"
189,35,256,584,398,106,"Counter({'sx': 247, 'rz': 205, 'cz': 106, 'x': 22, 'measure': 4})"
190,35,261,570,404,108,"Counter({'sx': 243, 'rz': 194, 'cz': 108, 'x': 21, 'measure': 4})"
191,35,262,570,407,110,"Counter({'sx': 242, 'rz': 193, 'cz': 110, 'x': 21, 'measure': 4})"
192,35,263,573,405,108,"Counter({'sx': 243, 'rz': 197, 'cz': 108, 'x': 21, 'measure': 4})"
193,35,302,566,400,108,"Counter({'sx': 243, 'rz': 191, 'cz': 108, 'x': 20, 'measure': 4})"
194,35,306,588,407,108,"Counter({'sx': 252, 'rz': 203, 'cz': 108, 'x': 21, 'measure': 4})"
195,35,317,583,399,106,"Counter({'sx': 247, 'rz': 203, 'cz': 106, 'x': 23, 'measure': 4})"
196,35,325,576,392,106,"Counter({'sx': 247, 'rz': 196, 'cz': 106, 'x': 23, 'measure': 4})"
197,35,334,578,395,106,"Counter({'sx': 247, 'rz': 199, 'cz': 106, 'x': 22, 'measure': 4})"
198,35,335,569,404,108,"Counter({'sx': 243, 'rz': 195, 'cz': 108, 'x': 19, 'measure': 4})"
199,35,336,571,405,108,"Counter({'sx': 243, 'rz': 196, 'cz': 108, 'x': 20, 'measure': 4})"
200,35,337,581,399,106,"Counter({'sx': 247, 'rz': 203, 'cz': 106, 'x': 21, 'measure': 4})"
201,35,342,567,406,110,"Counter({'sx': 240, 'rz': 190, 'cz': 110, 'x': 23, 'measure': 4})"
202,35,345,579,397,106,"Counter({'sx': 247, 'rz': 200, 'cz': 106, 'x': 22, 'measure': 4})"
203,35,346,575,412,110,"Counter({'sx': 242, 'rz': 198, 'cz': 110, 'x': 21, 'measure': 4})"
204,35,351,573,406,108,"Counter({'sx': 243, 'rz': 197, 'cz': 108, 'x': 21, 'measure': 4})"
205,35,353,582,397,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 23, 'measure': 4})"
206,35,354,589,403,108,"Counter({'sx': 252, 'rz': 202, 'cz': 108, 'x': 23, 'measure': 4})"
207,35,365,567,402,108,"Counter({'sx': 243, 'rz': 193, 'cz': 108, 'x': 19, 'measure': 4})"
208,35,380,581,399,106,"Counter({'sx': 247, 'rz': 202, 'cz': 106, 'x': 22, 'measure': 4})"
209,35,383,581,395,106,"Counter({'sx': 247, 'rz': 201, 'cz': 106, 'x': 23, 'measure': 4})"
210,35,404,568,401,108,"Counter({'sx': 243, 'rz': 193, 'cz': 108, 'x': 20, 'measure': 4})"
211,35,406,569,401,108,"Counter({'sx': 243, 'rz': 193, 'cz': 108, 'x': 21, 'measure': 4})"
212,35,411,571,405,108,"Counter({'sx': 243, 'rz': 196, 'cz': 108, 'x': 20, 'measure': 4})"
213,35,416,571,405,108,"Counter({'sx': 243, 'rz': 195, 'cz': 108, 'x': 21, 'measure': 4})"
