,A,B,gates,depth,2-gates,RZ,SX,CZ
536,55,251,386,295,72,136,166,72
537,55,252,376,286,70,133,163,70
538,55,254,379,287,68,139,162,68
539,55,256,384,290,70,138,165,70
540,55,261,387,298,72,137,166,72
541,55,262,376,289,70,134,163,70
542,55,263,376,284,68,137,162,68
543,55,302,375,283,68,136,162,68
544,55,306,377,287,70,134,163,70
545,55,317,387,297,72,138,166,72
546,55,325,377,286,70,131,165,70
547,55,334,382,293,72,133,166,72
548,55,335,377,286,68,137,162,68
549,55,336,381,288,68,141,162,68
550,55,337,379,288,70,136,163,70
551,55,342,378,288,70,135,163,70
552,55,345,384,291,70,139,165,70
553,55,346,381,291,70,137,163,70
554,55,351,386,297,72,136,166,72
555,55,353,382,289,68,142,162,68
556,55,354,380,291,70,137,163,70
557,55,365,378,287,68,138,162,68
558,55,380,384,295,72,135,166,72
559,55,383,379,290,72,131,166,72
560,55,404,383,294,72,134,166,72
561,55,406,376,286,70,133,163,70
562,55,411,384,289,70,138,165,70
563,55,416,378,288,68,138,162,68
564,55,419,380,285,68,140,162,68
565,55,420,383,295,70,140,163,70
566,55,421,377,287,70,135,163,70
567,55,424,510,326,104,159,238,104
568,55,425,387,297,72,137,166,72
569,55,426,378,284,68,138,162,68
570,55,428,375,284,68,135,162,68
571,55,435,378,288,70,136,163,70
572,57,59,382,292,72,132,166,72
573,57,63,379,291,72,131,166,72
574,57,67,378,289,72,129,166,72
575,57,69,384,293,72,135,166,72
576,57,74,375,287,70,132,163,70
577,57,77,377,286,70,133,163,70
578,57,81,371,278,68,132,162,68
579,57,82,374,285,70,131,163,70
580,57,83,380,289,70,137,163,70
581,57,84,370,281,70,128,163,70
582,57,85,372,283,70,130,163,70
583,57,93,374,282,68,135,162,68
584,57,98,383,293,72,134,166,72
585,57,99,374,285,68,134,162,68
586,57,104,379,289,72,130,166,72
587,57,106,380,291,72,131,166,72
588,57,107,372,284,70,130,163,70
589,57,109,378,286,70,132,165,70
590,57,113,378,285,68,139,162,68
591,57,114,374,284,68,135,162,68
592,57,115,377,284,68,137,162,68
593,57,117,374,285,70,131,163,70
594,57,165,374,283,68,135,162,68
595,57,166,373,282,68,134,162,68
596,57,198,372,281,68,133,162,68
597,57,199,377,289,72,127,166,72
598,57,233,377,283,68,138,162,68
599,57,234,375,286,70,133,163,70
600,57,240,372,283,70,130,163,70
601,57,241,376,285,68,136,162,68
602,57,249,377,287,70,134,163,70
603,57,251,380,289,70,134,165,70
604,57,252,373,280,68,133,162,68
605,57,254,376,285,70,133,163,70
606,57,256,376,286,70,132,163,70
607,57,261,375,285,68,135,162,68
608,57,262,373,283,68,134,162,68
609,57,263,374,282,68,135,162,68
610,57,302,372,283,70,129,163,70
611,57,306,373,282,68,133,162,68
612,57,317,378,288,70,135,163,70
613,57,325,370,282,70,127,163,70
614,57,334,374,282,68,135,162,68
615,57,335,374,284,70,131,163,70
616,57,336,379,286,68,139,162,68
617,57,337,374,282,68,134,162,68
618,57,342,376,286,70,133,163,70
619,57,345,376,286,70,134,163,70
620,57,346,379,289,70,135,163,70
621,57,351,381,288,70,135,165,70
622,57,353,378,289,70,134,163,70
623,57,354,378,289,70,135,163,70
624,57,365,377,287,70,134,163,70
625,57,380,372,281,68,133,162,68
626,57,383,372,283,70,130,163,70
627,57,404,381,292,72,132,166,72
628,57,406,377,287,72,128,166,72
629,57,411,377,282,68,137,162,68
630,57,416,374,284,68,134,162,68
631,57,419,378,283,68,138,162,68
632,57,420,386,291,68,143,165,68
633,57,421,376,282,68,137,162,68
634,57,424,374,285,70,131,163,70
635,57,425,385,295,72,135,166,72
636,57,426,379,285,70,133,165,70
637,57,428,381,290,72,131,166,72
638,57,435,379,289,72,131,166,72
639,59,63,372,278,68,131,162,68
640,59,67,381,288,72,131,166,72
641,59,69,380,283,68,138,162,68
642,59,74,374,283,70,129,163,70
643,59,77,377,279,68,135,162,68
644,59,81,370,274,68,129,162,68
645,59,82,373,277,68,132,162,68
646,59,83,379,285,70,134,163,70
647,59,84,372,276,68,131,162,68
648,59,85,374,278,68,133,162,68
649,59,93,381,288,72,131,166,72
650,59,98,385,290,70,138,165,70
651,59,99,375,283,68,133,162,68
652,59,104,373,280,70,128,163,70
653,59,106,376,284,70,131,163,70
654,59,107,373,282,70,129,163,70
655,59,109,372,277,68,130,162,68
656,59,113,376,284,70,132,163,70
657,59,114,382,288,70,136,165,70
658,59,115,375,283,70,130,163,70
659,59,117,375,283,70,130,163,70
660,59,165,382,289,72,132,166,72
661,59,166,383,290,72,133,166,72
662,59,198,373,279,68,132,162,68
663,59,199,373,282,70,127,163,70
664,59,233,376,279,68,135,162,68
665,59,234,374,282,70,130,163,70
666,59,240,374,279,68,133,162,68
667,59,241,389,294,72,138,166,72
668,59,249,385,291,72,135,166,72
669,59,251,380,286,70,134,163,70
670,59,252,375,282,70,130,163,70
671,59,254,384,289,72,134,166,72
672,59,256,376,279,68,134,162,68
673,59,261,384,291,72,133,166,72
674,59,262,371,281,70,127,163,70
675,59,263,373,278,68,132,162,68
676,59,302,372,277,68,131,162,68
677,59,306,381,287,72,131,166,72
678,59,317,378,284,68,136,162,68
679,59,325,369,275,68,127,162,68
680,59,334,373,278,68,132,162,68
681,59,335,374,280,68,132,162,68
682,59,336,377,285,70,132,163,70
683,59,337,376,282,70,131,163,70
684,59,342,375,282,70,130,163,70
685,59,345,382,288,72,133,166,72
686,59,346,373,280,68,131,162,68
687,59,351,377,281,68,135,162,68
688,59,353,379,283,68,137,162,68
689,59,354,377,285,70,132,163,70
690,59,365,384,289,70,137,165,70
691,59,380,373,279,68,132,162,68
692,59,383,373,277,68,132,162,68
693,59,404,382,289,72,132,166,72
694,59,406,372,276,68,130,162,68
695,59,411,376,278,68,134,162,68
696,59,416,384,290,72,133,166,72
697,59,419,376,282,70,131,163,70
698,59,420,379,285,68,137,162,68
699,59,421,374,281,70,130,163,70
700,59,424,381,287,70,134,165,70
701,59,425,379,286,70,133,163,70
702,59,426,376,283,70,130,163,70
703,59,428,377,283,70,131,163,70
704,59,435,375,278,68,134,162,68
705,63,67,375,283,70,132,163,70
706,63,69,379,282,68,139,162,68
707,63,74,382,291,72,134,166,72
708,63,77,374,278,68,134,162,68
709,63,81,378,286,72,131,166,72
710,63,82,372,276,68,133,162,68
711,63,83,375,282,68,135,162,68
712,63,84,373,277,68,134,162,68
713,63,85,373,277,68,134,162,68
714,63,93,372,277,68,133,162,68
715,63,98,383,292,72,135,166,72
716,63,99,372,282,68,132,162,68
717,63,104,372,277,68,133,162,68
718,63,106,373,279,68,134,162,68
719,63,107,373,279,68,134,162,68
720,63,109,374,282,70,130,163,70
721,63,113,377,285,70,135,163,70
722,63,114,382,292,72,134,166,72
723,63,115,379,289,72,131,166,72
724,63,117,379,288,70,134,165,70
725,63,165,372,280,68,133,162,68
726,63,166,371,279,68,132,162,68
727,63,198,372,278,68,133,162,68
728,63,199,368,278,68,128,162,68
729,63,233,376,283,70,133,163,70
730,63,234,382,290,72,135,166,72
731,63,240,379,287,72,132,166,72
732,63,241,388,296,72,139,166,72
733,63,249,383,288,70,138,165,70
734,63,251,373,281,68,133,162,68
735,63,252,373,277,68,133,162,68
736,63,254,381,289,72,133,166,72
737,63,256,376,285,70,132,163,70
738,63,261,373,282,68,133,162,68
739,63,262,379,289,72,132,166,72
740,63,263,382,291,72,134,166,72
741,63,302,369,276,68,130,162,68
742,63,306,373,282,70,130,163,70
743,63,317,375,283,68,135,162,68
744,63,325,377,286,72,129,166,72
745,63,334,373,281,70,130,163,70
746,63,335,371,279,68,131,162,68
747,63,336,376,286,70,133,163,70
748,63,337,374,281,68,134,162,68
749,63,342,373,276,68,134,162,68
750,63,345,374,283,70,132,163,70
751,63,346,372,281,68,132,162,68
752,63,351,374,280,68,134,162,68
753,63,353,378,286,70,134,163,70
754,63,354,377,282,68,138,162,68
755,63,365,381,289,70,136,165,70
756,63,380,382,290,72,134,166,72
757,63,383,372,276,68,133,162,68
758,63,404,380,286,70,135,165,70
759,63,406,508,323,104,157,238,104
760,63,411,375,279,68,135,162,68
761,63,416,383,292,72,134,166,72
762,63,419,382,290,72,134,166,72
763,63,420,378,284,68,138,162,68
764,63,421,381,284,70,137,165,70
765,63,424,371,280,68,131,162,68
766,63,425,375,283,68,135,162,68
767,63,426,374,279,68,134,162,68
768,63,428,374,282,70,130,163,70
769,63,435,374,281,70,132,163,70
