,A,B,mean_value,fidelity,probs
80,23,252,3.8146972656249826e-06,0.995104687421615,"[1.65893549e-03 1.68503357e-03 1.68577991e-03 ... 4.74446437e-10
 2.87491417e-10 9.15995840e-13]"
81,252,23,3.8146972656249826e-06,0.995104687421615,"[1.65893549e-03 1.68503357e-03 1.68577991e-03 ... 4.74446437e-10
 2.87491417e-10 9.15995840e-13]"
82,23,254,3.8146972656249835e-06,0.9976258716793626,"[1.66355072e-03 1.69908855e-03 1.70310741e-03 ... 2.25210069e-10
 1.20456499e-10 5.95819604e-12]"
83,254,23,3.8146972656249835e-06,0.9976258716793626,"[1.66355072e-03 1.69908855e-03 1.70310741e-03 ... 2.25210069e-10
 1.20456499e-10 5.95819604e-12]"
84,23,256,3.8146972656249843e-06,0.9986060455472736,"[1.67084569e-03 1.70862307e-03 1.70474326e-03 ... 2.53983811e-10
 1.28946303e-10 5.96408977e-12]"
85,256,23,3.8146972656249843e-06,0.9986060455472736,"[1.67084569e-03 1.70862307e-03 1.70474326e-03 ... 2.53983811e-10
 1.28946303e-10 5.96408977e-12]"
86,23,261,3.8146972656249843e-06,0.9977114652642634,"[1.67214077e-03 1.70903706e-03 1.69677888e-03 ... 2.23418593e-10
 1.13982653e-10 1.01084845e-11]"
87,261,23,3.8146972656249843e-06,0.9977114652642634,"[1.67214077e-03 1.70903706e-03 1.69677888e-03 ... 2.23418593e-10
 1.13982653e-10 1.01084845e-11]"
88,23,262,3.814697265624984e-06,0.9979718562394958,"[1.67543353e-03 1.70784442e-03 1.70007977e-03 ... 2.54022725e-10
 1.39609010e-10 5.84908795e-12]"
89,262,23,3.814697265624984e-06,0.9979718562394958,"[1.67543353e-03 1.70784442e-03 1.70007977e-03 ... 2.54022725e-10
 1.39609010e-10 5.84908795e-12]"
90,23,263,3.8146972656249822e-06,0.9982286672618526,"[1.66535925e-03 1.69938596e-03 1.69828405e-03 ... 2.97098399e-10
 1.60012325e-10 1.41608676e-12]"
91,263,23,3.8146972656249822e-06,0.9982286672618526,"[1.66535925e-03 1.69938596e-03 1.69828405e-03 ... 2.97098399e-10
 1.60012325e-10 1.41608676e-12]"
92,23,302,3.8146972656249835e-06,0.9888870451507648,"[1.64919835e-03 1.68157631e-03 1.67054130e-03 ... 1.88413707e-10
 1.00023749e-10 1.61076692e-11]"
93,302,23,3.8146972656249835e-06,0.9888870451507648,"[1.64919835e-03 1.68157631e-03 1.67054130e-03 ... 1.88413707e-10
 1.00023749e-10 1.61076692e-11]"
94,23,306,3.814697265624983e-06,0.9949047355743705,"[1.66037764e-03 1.69443740e-03 1.67776091e-03 ... 2.18589080e-10
 1.17204328e-10 9.99595751e-12]"
95,306,23,3.814697265624983e-06,0.9949047355743705,"[1.66037764e-03 1.69443740e-03 1.67776091e-03 ... 2.18589080e-10
 1.17204328e-10 9.99595751e-12]"
96,23,317,3.8146972656249835e-06,0.9960050258952151,"[1.67167613e-03 1.70921598e-03 1.69394711e-03 ... 1.92452864e-10
 9.66423556e-11 1.56644718e-11]"
