,A,B,gates,depth,2-gates,RZ,SX,CZ
1052,81,306,560,405,108,190,250,108
1053,81,317,549,402,110,178,250,110
1054,81,325,545,397,108,176,251,108
1055,81,334,549,401,108,179,251,108
1056,81,335,555,400,106,187,251,106
1057,81,336,557,404,106,189,251,106
1058,81,337,553,404,110,182,250,110
1059,81,342,551,398,106,183,251,106
1060,81,345,547,399,108,177,251,108
1061,81,346,555,401,106,187,251,106
1062,81,351,554,406,110,182,250,110
1063,81,353,548,397,106,181,251,106
1064,81,354,553,402,106,186,251,106
1065,81,365,551,404,110,179,250,110
1066,81,380,551,405,110,180,250,110
1067,81,383,549,397,106,182,251,106
1068,81,404,547,398,108,178,251,108
1069,81,406,550,402,110,178,250,110
1070,81,411,550,402,110,179,250,110
1071,81,416,550,397,106,183,251,106
1072,81,419,549,398,106,182,251,106
1073,81,420,552,399,106,184,251,106
1074,81,421,551,405,110,179,250,110
1075,81,424,549,402,108,179,251,108
1076,81,425,548,398,106,181,251,106
1077,81,426,553,399,106,185,251,106
1078,81,428,544,397,108,175,251,108
1079,81,435,551,400,106,184,251,106
1080,82,83,556,402,106,188,251,106
1081,82,84,555,401,106,187,251,106
1082,82,85,548,399,108,179,251,108
1083,82,93,554,402,108,185,250,108
1084,82,98,559,401,106,191,251,106
1085,82,99,552,403,108,183,251,108
1086,82,104,551,401,110,180,250,110
1087,82,106,552,398,106,185,251,106
1088,82,107,555,406,110,184,250,110
1089,82,109,557,408,110,186,250,110
1090,82,113,554,406,110,183,250,110
1091,82,114,553,399,106,186,251,106
1092,82,115,554,406,110,182,250,110
1093,82,117,547,398,108,178,251,108
1094,82,165,560,405,108,190,250,108
1095,82,166,556,398,106,188,251,106
1096,82,198,556,401,106,188,251,106
1097,82,199,549,401,110,177,250,110
1098,82,233,557,402,106,189,251,106
1099,82,234,554,400,106,187,251,106
1100,82,240,555,400,106,188,251,106
1101,82,241,557,406,108,188,251,108
1102,82,249,557,408,110,185,250,110
1103,82,251,556,408,110,184,250,110
1104,82,252,547,396,106,180,251,106
1105,82,254,554,405,110,183,250,110
1106,82,256,552,404,110,181,250,110
1107,82,261,556,406,110,184,250,110
1108,82,262,556,400,106,188,251,106
1109,82,263,552,399,106,185,251,106
1110,82,302,550,402,110,178,250,110
1111,82,306,560,402,106,192,251,106
1112,82,317,551,401,108,182,251,108
1113,82,325,553,402,108,184,250,108
1114,82,334,558,404,108,188,250,108
1115,82,335,554,403,108,184,251,108
1116,82,336,558,403,106,190,251,106
1117,82,337,555,400,106,188,251,106
1118,82,342,554,399,106,186,251,106
1119,82,345,554,398,106,186,251,106
1120,82,346,560,406,108,190,250,108
1121,82,351,556,407,110,184,250,110
1122,82,353,551,399,108,182,251,108
1123,82,354,552,402,108,183,251,108
1124,82,365,553,403,108,183,251,108
1125,82,380,553,404,108,184,251,108
1126,82,383,551,402,110,180,250,110
1127,82,404,550,399,108,181,251,108
1128,82,406,552,397,106,184,251,106
1129,82,411,552,403,110,181,250,110
1130,82,416,551,399,108,182,251,108
1131,82,419,550,400,108,181,251,108
1132,82,420,555,400,106,187,251,106
1133,82,421,553,406,110,181,250,110
1134,82,424,552,403,108,182,251,108
1135,82,425,549,400,108,180,251,108
1136,82,426,552,402,108,182,251,108
1137,82,428,548,398,106,181,251,106
1138,82,435,553,403,108,184,251,108
1139,83,84,559,406,106,191,251,106
1140,83,85,552,401,106,185,251,106
1141,83,93,554,404,108,185,251,108
1142,83,98,563,406,106,195,251,106
1143,83,99,554,406,108,185,251,108
1144,83,104,553,402,108,184,251,108
1145,83,106,555,408,110,185,250,110
1146,83,107,555,405,108,186,251,108
1147,83,109,558,411,110,188,250,110
1148,83,113,556,406,106,189,251,106
1149,83,114,555,405,108,186,251,108
1150,83,115,554,405,108,184,251,108
1151,83,117,554,403,106,187,251,106
1152,83,165,560,404,106,192,251,106
1153,83,166,557,406,108,187,251,108
1154,83,198,557,410,110,186,250,110
1155,83,199,551,402,108,181,251,108
1156,83,233,561,407,106,193,251,106
1157,83,234,560,404,106,191,253,106
1158,83,240,556,408,110,186,250,110
1159,83,241,558,407,106,191,251,106
1160,83,249,562,409,108,193,250,108
1161,83,251,558,405,106,190,251,106
1162,83,252,551,401,106,184,251,106
1163,83,254,555,407,108,187,250,108
1164,83,256,554,402,106,187,251,106
1165,83,261,559,411,110,188,250,110
1166,83,262,560,405,106,192,251,106
1167,83,263,554,402,106,187,251,106
1168,83,302,556,404,108,187,250,108
1169,83,306,563,409,108,194,250,108
1170,83,317,555,403,106,188,251,106
1171,83,325,552,403,108,183,251,108
1172,83,334,555,409,110,184,250,110
1173,83,335,557,410,110,186,250,110
1174,83,336,562,408,106,194,251,106
1175,83,337,557,406,108,188,251,108
1176,83,342,556,402,106,188,251,106
1177,83,345,555,409,110,184,250,110
1178,83,346,560,405,106,192,251,106
1179,83,351,560,404,106,192,251,106
1180,83,353,556,408,110,186,250,110
1181,83,354,558,406,106,191,251,106
1182,83,365,560,408,108,191,250,108
1183,83,380,556,405,106,189,251,106
1184,83,383,554,401,106,187,251,106
