,A,B,gates,depth,2-gates,Gates
171,35,107,549,402,110,"Counter({'sx': 250, 'rz': 180, 'cz': 110, 'x': 5, 'measure': 4})"
172,35,109,551,400,106,"Counter({'sx': 251, 'rz': 185, 'cz': 106, 'x': 5, 'measure': 4})"
173,35,113,550,404,110,"Counter({'sx': 250, 'rz': 181, 'cz': 110, 'x': 5, 'measure': 4})"
174,35,114,549,398,106,"Counter({'sx': 251, 'rz': 183, 'cz': 106, 'x': 5, 'measure': 4})"
175,35,115,548,402,110,"Counter({'sx': 250, 'rz': 178, 'cz': 110, 'x': 6, 'measure': 4})"
176,35,117,543,398,110,"Counter({'sx': 250, 'rz': 174, 'cz': 110, 'x': 5, 'measure': 4})"
177,35,165,554,401,108,"Counter({'sx': 250, 'rz': 186, 'cz': 108, 'x': 6, 'measure': 4})"
178,35,166,552,397,106,"Counter({'sx': 251, 'rz': 185, 'cz': 106, 'x': 6, 'measure': 4})"
179,35,198,552,400,106,"Counter({'sx': 251, 'rz': 185, 'cz': 106, 'x': 6, 'measure': 4})"
180,35,199,543,396,108,"Counter({'sx': 251, 'rz': 174, 'cz': 108, 'x': 6, 'measure': 4})"
181,35,233,555,404,108,"Counter({'sx': 250, 'rz': 187, 'cz': 108, 'x': 6, 'measure': 4})"
182,35,234,548,400,108,"Counter({'sx': 251, 'rz': 180, 'cz': 108, 'x': 5, 'measure': 4})"
183,35,240,551,399,106,"Counter({'sx': 251, 'rz': 185, 'cz': 106, 'x': 5, 'measure': 4})"
184,35,241,551,403,108,"Counter({'sx': 251, 'rz': 183, 'cz': 108, 'x': 5, 'measure': 4})"
185,35,249,553,399,106,"Counter({'sx': 251, 'rz': 186, 'cz': 106, 'x': 6, 'measure': 4})"
186,35,251,550,399,106,"Counter({'sx': 251, 'rz': 183, 'cz': 106, 'x': 6, 'measure': 4})"
187,35,252,545,398,108,"Counter({'sx': 250, 'rz': 178, 'cz': 108, 'x': 5, 'measure': 4})"
188,35,254,546,398,108,"Counter({'sx': 251, 'rz': 178, 'cz': 108, 'x': 5, 'measure': 4})"
189,35,256,546,399,108,"Counter({'sx': 251, 'rz': 178, 'cz': 108, 'x': 5, 'measure': 4})"
190,35,261,550,401,108,"Counter({'sx': 251, 'rz': 181, 'cz': 108, 'x': 6, 'measure': 4})"
191,35,262,552,399,106,"Counter({'sx': 251, 'rz': 185, 'cz': 106, 'x': 6, 'measure': 4})"
192,35,263,546,396,106,"Counter({'sx': 251, 'rz': 180, 'cz': 106, 'x': 5, 'measure': 4})"
193,35,302,542,395,108,"Counter({'sx': 251, 'rz': 173, 'cz': 108, 'x': 6, 'measure': 4})"
194,35,306,554,399,106,"Counter({'sx': 251, 'rz': 187, 'cz': 106, 'x': 6, 'measure': 4})"
195,35,317,547,397,106,"Counter({'sx': 251, 'rz': 181, 'cz': 106, 'x': 5, 'measure': 4})"
